,Prediction
532,0
533,0
534,1
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,0
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,1
599,0
600,1
601,1
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,0
611,1
612,0
613,1
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,1
627,0
628,1
629,0
630,1
631,0
632,0
633,1
634,1
635,1
636,0
637,0
638,1
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,0
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,0
686,0
687,0
688,0
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,1
743,1
744,1
745,1
746,0
747,1
748,1
749,0
750,1
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,1
772,0
773,0
774,1
775,0
776,0
777,0
778,0
779,1
780,0
781,1
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,1
824,0
825,0
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,1
841,0
842,0
843,1
844,0
845,1
846,0
847,1
848,1
849,0
850,1
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,0
860,1
861,0
862,1
863,0
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,1
877,0
878,0
879,0
880,0
881,1
882,0
883,0
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,1
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,0
932,0
933,0
934,0
935,1
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,1
946,0
947,0
948,1
949,0
950,0
951,1
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,1
961,0
962,1
963,0
964,0
965,1
966,0
967,1
968,1
969,1
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,1
983,0
984,1
985,0
986,0
987,1
988,1
989,0
990,0
991,1
992,0
993,0
994,1
995,0
996,0
997,0
998,1
999,0
1000,0
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,1
1061,1
1062,1
1063,0
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,0
1080,1
1081,1
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,1
1089,0
1090,0
1091,1
1092,0
1093,0
1094,1
1095,0
1096,1
1097,1
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,1
1126,1
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,1
1137,1
1138,1
1139,0
1140,1
1141,0
1142,1
1143,1
1144,1
1145,0
1146,0
1147,1
1148,1
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,0
1161,0
1162,1
1163,1
1164,0
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,1
1172,0
1173,0
1174,1
1175,1
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,1
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,0
1202,1
1203,0
1204,1
1205,1
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,1
1213,0
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,0
1222,1
1223,0
1224,0
1225,0
1226,1
1227,0
1228,0
1229,0
1230,0
1231,0
1232,1
1233,0
1234,0
1235,1
1236,1
1237,1
1238,1
1239,0
1240,1
1241,1
1242,0
1243,0
1244,0
1245,1
1246,0
1247,0
1248,0
1249,1
1250,1
1251,0
1252,0
1253,1
1254,1
1255,1
1256,1
1257,0
1258,0
1259,0
1260,1
1261,1
1262,0
1263,0
1264,1
1265,1
1266,0
1267,0
1268,1
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,1
1281,0
1282,0
1283,1
1284,0
1285,1
1286,1
1287,0
1288,0
1289,1
1290,0
1291,1
1292,0
1293,1
1294,0
1295,0
1296,1
1297,0
1298,1
1299,0
1300,0
1301,1
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,1
1310,0
1311,1
1312,0
1313,1
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,1
1322,0
1323,0
1324,0
1325,0
1326,1
1327,1
1328,1
1329,1
1330,0
1331,1
1332,1
1333,0
1334,0
1335,0
1336,0
1337,1
1338,1
1339,0
1340,1
1341,0
1342,1
1343,0
1344,0
1345,1
1346,0
1347,1
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,0
1357,0
1358,0
1359,0
1360,1
1361,0
1362,1
1363,0
1364,0
1365,1
1366,0
1367,0
1368,0
1369,0
1370,0
1371,1
1372,0
1373,1
1374,1
1375,1
1376,1
1377,0
1378,0
1379,1
1380,0
1381,1
1382,0
1383,0
1384,0
1385,0
1386,1
1387,0
1388,0
1389,1
1390,0
1391,1
1392,0
1393,0
1394,0
1395,0
1396,0
1397,1
1398,1
1399,1
1400,0
1401,0
1402,0
1403,0
1404,0
1405,1
1406,0
1407,0
1408,1
1409,0
1410,0
1411,1
1412,0
1413,1
1414,0
1415,0
1416,1
1417,0
1418,0
1419,1
1420,0
1421,0
1422,0
1423,0
1424,1
1425,0
1426,1
1427,1
1428,1
1429,1
1430,0
1431,1
1432,1
1433,0
1434,1
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,0
1442,0
1443,0
1444,0
1445,0
1446,1
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,1
1454,0
1455,1
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,1
1464,0
1465,0
1466,1
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,1
1478,0
1479,0
1480,1
1481,0
1482,0
1483,1
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,1
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,1
1503,0
1504,1
1505,1
1506,0
1507,1
1508,0
1509,0
1510,0
1511,0
1512,1
1513,1
1514,0
1515,1
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,1
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,1
1532,0
1533,1
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,0
1543,0
1544,1
1545,0
1546,1
1547,0
1548,0
1549,1
1550,0
1551,1
1552,0
1553,0
1554,1
1555,0
1556,0
1557,0
1558,1
1559,0
1560,1
1561,0
1562,0
1563,0
1564,1
1565,1
1566,0
1567,0
1568,1
1569,0
1570,0
1571,0
1572,0
1573,1
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,1
1584,1
1585,1
1586,0
1587,1
1588,0
1589,0
1590,1
1591,1
1592,1
1593,1
1594,0
1595,0
1596,1
1597,0
1598,1
1599,0
1600,0
1601,1
1602,0
1603,0
1604,1
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,1
1618,1
1619,1
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,1
1629,0
1630,0
1631,0
1632,0
1633,0
1634,1
1635,0
1636,1
1637,0
1638,1
1639,1
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,1
1647,0
1648,0
1649,0
1650,1
1651,0
1652,0
1653,0
1654,0
1655,1
1656,1
1657,1
1658,1
1659,0
1660,0
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,0
1669,1
1670,0
1671,0
1672,1
1673,0
1674,1
1675,1
1676,0
1677,1
1678,0
1679,0
1680,1
1681,0
1682,0
1683,0
1684,0
1685,1
1686,1
1687,0
1688,1
1689,0
1690,1
1691,0
1692,0
1693,0
1694,0
1695,1
1696,0
1697,0
1698,1
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,1
1711,1
1712,0
1713,0
1714,0
1715,1
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,1
1724,0
1725,0
1726,1
1727,0
1728,1
1729,0
1730,0
1731,1
1732,0
1733,0
1734,0
1735,1
1736,0
1737,1
1738,0
1739,0
1740,1
1741,0
1742,0
1743,1
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,1
1751,0
1752,1
1753,0
1754,0
1755,0
1756,0
1757,1
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,1
1769,0
1770,1
1771,0
1772,1
1773,0
1774,0
1775,0
1776,0
1777,1
1778,1
1779,1
1780,0
1781,1
1782,1
1783,0
1784,1
1785,1
1786,0
1787,1
1788,0
1789,0
1790,1
1791,0
1792,1
1793,0
1794,0
1795,0
1796,1
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,1
1804,1
1805,0
1806,0
1807,1
1808,0
1809,0
1810,1
1811,0
1812,0
1813,0
1814,1
1815,0
1816,0
1817,1
1818,0
1819,1
1820,0
1821,0
1822,1
1823,0
1824,0
1825,0
1826,1
1827,0
1828,1
1829,0
1830,0
1831,0
1832,1
1833,1
1834,1
1835,0
1836,0
1837,0
1838,1
1839,0
1840,1
1841,0
1842,0
1843,1
1844,0
1845,0
1846,1
1847,0
1848,0
1849,1
1850,0
1851,1
1852,1
1853,0
1854,1
1855,1
1856,0
1857,1
1858,1
1859,0
1860,0
1861,0
1862,1
1863,1
1864,0
1865,0
1866,0
1867,0
1868,0
1869,1
1870,0
1871,0
1872,0
1873,1
1874,0
1875,1
1876,0
1877,0
1878,0
1879,0
1880,1
1881,0
1882,0
1883,1
1884,0
1885,1
1886,0
1887,1
1888,1
1889,1
1890,1
1891,0
1892,0
1893,0
1894,0
1895,1
1896,0
1897,1
1898,0
1899,1
1900,0
1901,1
1902,1
1903,0
1904,1
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,1
1928,0
1929,1
1930,1
1931,0
1932,1
1933,1
1934,1
1935,1
1936,0
1937,0
1938,0
1939,1
1940,0
1941,0
1942,1
1943,0
1944,0
1945,0
1946,0
1947,1
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,1
1955,1
1956,0
1957,1
1958,0
1959,1
1960,1
1961,1
1962,0
1963,1
1964,1
1965,1
1966,1
1967,0
1968,1
1969,1
1970,0
1971,0
1972,1
1973,1
1974,0
1975,1
1976,0
1977,0
1978,1
1979,1
1980,0
1981,1
1982,0
1983,1
1984,1
1985,0
1986,1
1987,0
1988,0
1989,1
1990,1
1991,1
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,1
2000,1
2001,0
2002,1
2003,0
2004,0
2005,1
2006,1
2007,1
2008,0
2009,0
2010,1
2011,0
2012,0
2013,0
2014,1
2015,0
2016,1
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,1
2025,0
2026,0
2027,0
2028,1
2029,0
2030,0
2031,0
2032,0
2033,0
2034,1
2035,1
2036,0
2037,1
2038,0
2039,1
2040,1
2041,0
2042,0
2043,0
2044,1
2045,1
2046,0
2047,0
2048,1
2049,0
2050,1
2051,1
2052,0
2053,1
2054,0
2055,0
2056,0
2057,1
2058,0
2059,0
2060,0
2061,1
2062,0
2063,1
2064,1
2065,1
2066,1
2067,0
2068,1
2069,1
2070,0
2071,1
2072,0
2073,1
2074,0
2075,1
2076,0
2077,0
2078,1
2079,0
2080,0
2081,0
2082,0
2083,1
2084,0
2085,0
2086,0
2087,1
2088,1
2089,1
2090,1
2091,1
2092,0
2093,1
2094,1
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,1
2105,0
2106,0
2107,0
2108,1
2109,1
2110,0
2111,0
2112,0
2113,0
2114,1
2115,0
2116,1
2117,1
2118,0
2119,1
2120,0
2121,1
2122,0
2123,0
2124,0
2125,0
2126,1
2127,0
2128,0
2129,1
2130,0
2131,1
2132,1
2133,0
2134,0
2135,0
2136,0
2137,1
2138,0
2139,1
2140,1
2141,0
2142,0
2143,0
2144,0
2145,1
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,1
2153,0
2154,0
2155,1
2156,1
2157,0
2158,0
2159,1
2160,0
2161,1
2162,0
2163,1
2164,0
2165,0
2166,0
2167,1
2168,0
2169,1
2170,1
2171,0
2172,0
2173,1
2174,0
2175,1
2176,1
2177,0
2178,1
2179,0
2180,1
2181,1
2182,1
2183,1
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,1
2200,0
2201,0
2202,0
2203,1
2204,0
2205,1
2206,0
2207,1
2208,0
2209,0
2210,1
2211,0
2212,0
2213,0
2214,0
2215,1
2216,0
2217,0
2218,1
2219,0
2220,1
2221,0
2222,1
2223,1
2224,0
2225,0
2226,1
2227,0
2228,1
2229,0
2230,0
2231,1
2232,1
2233,1
2234,0
2235,1
2236,0
2237,1
2238,0
2239,0
2240,0
2241,0
2242,1
2243,1
2244,0
2245,1
2246,1
2247,1
2248,1
2249,0
2250,0
2251,1
2252,0
2253,1
2254,0
2255,1
2256,0
2257,0
2258,0
2259,1
2260,0
2261,0
2262,0
2263,1
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,1
2271,0
2272,1
2273,1
2274,0
2275,1
2276,0
2277,1
2278,1
2279,0
2280,1
2281,1
2282,0
2283,0
2284,1
2285,1
2286,1
2287,0
2288,1
2289,0
2290,0
2291,0
2292,1
2293,0
2294,0
2295,1
2296,0
2297,0
2298,0
2299,0
2300,1
2301,0
2302,1
2303,1
2304,0
2305,1
2306,0
2307,0
2308,1
2309,0
2310,1
2311,1
2312,0
2313,1
2314,0
2315,1
2316,1
2317,0
2318,1
2319,0
2320,1
2321,1
2322,0
2323,1
2324,0
2325,1
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,1
2334,0
2335,1
2336,1
2337,0
2338,0
2339,0
2340,0
2341,1
2342,0
2343,1
2344,0
2345,0
2346,1
2347,0
2348,0
2349,1
2350,0
2351,1
2352,1
2353,0
2354,1
2355,0
2356,1
2357,1
2358,1
2359,0
2360,1
2361,0
2362,0
2363,1
2364,0
2365,0
2366,1
2367,0
2368,1
2369,0
2370,0
2371,1
2372,0
2373,1
2374,1
2375,0
2376,0
2377,1
2378,0
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,1
2387,0
2388,1
2389,1
2390,0
2391,0
2392,0
2393,0
2394,0
2395,1
2396,0
2397,1
2398,0
2399,0
2400,1
2401,0
2402,1
2403,1
2404,1
2405,1
2406,0
2407,1
2408,0
2409,0
2410,0
2411,1
2412,0
2413,1
2414,0
2415,0
2416,1
2417,0
2418,0
2419,0
2420,1
2421,1
2422,1
2423,1
2424,1
2425,0
2426,0
2427,1
2428,0
2429,0
2430,1
2431,1
2432,0
2433,1
2434,0
2435,0
2436,0
2437,1
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,1
2452,1
2453,0
2454,1
2455,0
2456,1
2457,1
2458,0
2459,0
2460,1
2461,0
2462,0
2463,0
2464,0
2465,0
2466,1
2467,0
2468,0
2469,0
2470,0
2471,1
2472,0
2473,0
2474,1
2475,0
2476,0
2477,1
2478,0
2479,1
2480,1
2481,1
2482,0
2483,0
2484,0
2485,1
2486,0
2487,0
2488,1
2489,1
2490,0
2491,0
2492,0
2493,1
2494,0
2495,1
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,1
2507,0
2508,1
2509,1
2510,0
2511,1
2512,0
2513,1
2514,1
2515,0
2516,1
2517,0
2518,0
2519,0
2520,0
2521,1
2522,1
2523,0
2524,1
2525,1
2526,0
2527,0
2528,1
2529,0
2530,0
2531,0
2532,0
2533,0
2534,1
2535,0
2536,1
2537,0
2538,1
2539,0
2540,1
2541,0
2542,1
2543,1
2544,0
2545,0
2546,1
2547,0
2548,0
2549,1
2550,1
2551,0
2552,1
2553,0
2554,1
2555,1
2556,0
2557,0
2558,1
2559,0
2560,0
2561,1
2562,1
2563,0
2564,0
2565,1
2566,1
2567,0
2568,0
2569,0
2570,0
2571,0
2572,0
2573,0
2574,0
2575,1
2576,1
2577,0
2578,0
2579,1
2580,0
2581,0
2582,0
2583,0
2584,1
2585,0
2586,0
2587,1
2588,1
2589,1
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,0
2597,1
2598,0
2599,0
2600,1
2601,1
2602,1
2603,1
2604,1
2605,0
2606,0
2607,0
2608,1
2609,0
2610,0
2611,1
2612,0
2613,0
2614,0
2615,0
2616,1
2617,0
2618,1
2619,0
2620,1
2621,0
2622,0
2623,1
2624,0
2625,1
2626,1
2627,0
2628,1
2629,0
2630,0
2631,1
2632,0
2633,1
2634,0
2635,0
2636,1
2637,0
2638,1
2639,0
2640,0
2641,1
2642,0
2643,1
2644,0
2645,0
2646,1
2647,0
2648,0
2649,0
2650,0
2651,0
2652,1
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,0
2661,1
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,1
2670,1
2671,0
2672,0
2673,1
2674,1
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,0
2682,1
2683,0
2684,0
2685,0
2686,1
2687,1
2688,0
2689,0
2690,1
2691,0
2692,1
2693,1
2694,0
2695,1
2696,0
2697,1
2698,1
2699,1
2700,0
2701,1
2702,0
2703,1
2704,1
2705,0
2706,1
2707,0
2708,1
2709,0
2710,0
2711,1
2712,0
2713,1
2714,0
2715,1
2716,0
2717,0
2718,0
2719,0
2720,1
2721,1
2722,0
2723,1
2724,0
2725,1
2726,1
2727,0
2728,1
2729,0
2730,1
2731,0
2732,1
2733,0
2734,0
2735,0
2736,0
2737,1
2738,0
2739,0
2740,1
2741,0
2742,0
2743,1
2744,0
2745,0
2746,0
2747,0
2748,1
2749,0
2750,1
2751,1
2752,1
2753,0
2754,1
2755,1
2756,1
2757,0
2758,0
2759,0
2760,0
2761,0
2762,0
2763,1
2764,0
2765,0
2766,0
2767,1
2768,0
2769,0
2770,1
2771,0
2772,0
2773,0
2774,0
2775,0
2776,1
2777,0
2778,0
2779,0
2780,0
2781,1
2782,0
2783,0
2784,1
2785,0
2786,1
2787,0
2788,1
2789,0
2790,0
2791,1
2792,1
2793,1
2794,0
2795,1
2796,0
2797,1
2798,1
2799,0
2800,0
2801,0
2802,0
2803,0
2804,0
2805,1
2806,0
2807,0
2808,1
2809,0
2810,0
2811,0
2812,0
2813,0
2814,1
2815,0
2816,0
2817,0
2818,0
2819,1
2820,1
2821,1
2822,0
2823,1
2824,0
2825,1
2826,0
2827,0
2828,0
2829,0
2830,0
2831,0
2832,0
2833,0
2834,1
2835,0
2836,1
2837,0
2838,1
2839,1
2840,0
2841,1
2842,1
2843,0
2844,0
2845,0
2846,1
2847,0
2848,0
2849,1
2850,0
2851,0
2852,0
2853,1
2854,1
2855,0
2856,0
2857,0
2858,0
2859,0
2860,1
2861,0
2862,0
2863,0
2864,0
2865,0
2866,1
2867,1
2868,1
2869,1
2870,0
2871,0
2872,1
2873,1
2874,0
2875,0
2876,0
2877,1
2878,0
2879,1
2880,0
2881,1
2882,1
2883,1
2884,0
2885,1
2886,0
2887,0
2888,0
2889,0
2890,0
2891,1
2892,0
2893,0
2894,0
2895,1
2896,0
2897,1
2898,1
2899,0
2900,1
2901,0
2902,0
2903,0
2904,0
2905,1
2906,0
2907,1
2908,0
2909,1
2910,0
2911,1
2912,0
2913,0
2914,0
2915,0
2916,0
2917,1
2918,1
2919,1
2920,1
2921,0
2922,1
2923,1
2924,0
2925,1
2926,0
2927,1
2928,1
2929,0
2930,0
2931,1
2932,0
2933,1
2934,0
2935,0
2936,0
2937,0
2938,1
2939,1
2940,1
2941,0
2942,1
2943,0
2944,0
2945,1
2946,0
2947,1
2948,1
2949,0
2950,1
2951,0
2952,0
2953,0
2954,0
2955,1
2956,0
2957,0
2958,0
2959,0
2960,0
2961,1
2962,1
2963,1
2964,0
2965,1
2966,1
2967,1
2968,1
2969,1
2970,0
2971,0
2972,0
2973,0
2974,0
2975,1
2976,0
2977,0
2978,0
2979,0
2980,0
2981,0
2982,0
2983,0
2984,0
2985,0
2986,1
2987,0
2988,1
2989,0
2990,0
2991,1
2992,0
2993,1
2994,0
2995,0
2996,1
